Depthm,T_degC,Salnty,O2ml_L,ChlorA,Phaeop,PO4uM,SiO3uM,NO2uM,NO3uM,NH3uM
10,13.0,33.507,5.82,1.55,0.5,0.62,6.0,0.09,4.7,0.05
19,12.96,33.507,5.71,1.5,0.65,0.63,6.0,0.1,5.0,0.04
20,12.96,33.503,5.7,1.49,0.65,0.63,6.0,0.1,5.0,0.04
30,12.93,33.503,5.63,1.31,0.54,0.66,6.3,0.11,5.4,0.08
40,12.89,33.5,5.53,0.89,0.44,0.69,6.5,0.12,5.6,0.15
50,12.46,33.529,4.92,0.4,0.27,0.94,9.1,0.12,9.5,0.19
60,11.41,33.623,3.75,0.16,0.17,1.44,15.2,0.11,17.0,0.06
70,11.13,33.677,3.39,0.09,0.13,1.58,17.4,0.04,19.0,0.02
75,10.99,33.725,3.15,0.06,0.11,1.67,19.2,0.03,20.2,0.02
84,10.6,33.831,2.77,0.02,0.08,1.82,22.2,0.01,22.1,0.02
99,10.48,33.843,2.66,0.03,0.13,1.9,23.6,0.04,22.8,0.06
100,10.46,33.842,2.65,0.03,0.13,1.9,23.7,0.04,22.9,0.06
121,10.15,33.936,2.4,0.01,0.1,2.01,26.2,0.02,24.4,0.06
0,13.51,33.488,5.92,0.5,0.14,0.52,2.8,0.05,2.9,0.26
1,13.51,33.488,5.92,0.5,0.14,0.52,2.8,0.05,2.9,0.26
8,13.48,33.487,5.93,0.5,0.16,0.51,2.8,0.05,2.9,0.24
14,13.34,33.496,5.88,0.54,0.17,0.55,3.3,0.06,3.5,0.28
18,12.86,33.529,5.57,1.16,0.42,0.72,6.6,0.09,6.4,0.14
20,12.53,33.561,5.39,1.07,0.43,0.8,7.8,0.09,7.7,0.15
22,12.48,33.562,5.18,0.97,0.43,0.89,9.0,0.1,9.1,0.16
30,11.03,33.672,3.74,0.25,0.22,1.47,16.6,0.05,18.1,0.04
31,10.96,33.682,3.57,0.17,0.19,1.54,17.5,0.04,19.1,0.02
38,10.66,33.746,3.28,0.13,0.16,1.67,20.0,0.04,20.8,0.02
46,10.65,33.748,3.28,0.13,0.18,1.67,20.2,0.03,20.8,0.01
50,10.6,33.762,3.26,0.13,0.17,1.68,20.5,0.03,21.0,0.02
54,10.59,33.766,3.23,0.14,0.16,1.69,20.8,0.04,21.2,0.04
62,10.56,33.775,3.2,0.14,0.16,1.71,21.2,0.04,21.3,0.03
75,10.26,33.835,2.97,0.09,0.14,1.8,23.1,0.03,22.7,0.04
76,10.31,33.826,2.95,0.09,0.14,1.81,23.3,0.03,22.8,0.04
91,10.13,33.862,2.8,0.07,0.13,1.88,24.7,0.02,23.6,0.02
0,12.62,33.557,5.64,1.07,0.32,0.82,8.2,0.06,8.2,0.0
2,12.62,33.557,5.64,1.07,0.32,0.82,8.2,0.06,8.2,0.0
10,12.62,33.557,5.6,1.06,0.28,0.82,8.2,0.07,8.2,0.0
20,12.55,33.558,5.55,1.18,0.33,0.83,8.3,0.07,8.4,0.0
25,12.49,33.56,5.68,1.24,0.35,0.86,8.5,0.07,8.7,0.0
30,12.46,33.561,5.54,1.09,0.35,0.87,8.6,0.08,8.9,0.0
40,11.76,33.616,4.69,0.48,0.24,1.18,12.6,0.12,14.0,0.03
50,11.02,33.673,3.84,0.18,0.16,1.47,16.5,0.06,18.4,0.0
59,10.71,33.708,3.52,0.11,0.13,1.58,18.5,0.01,20.2,0.0
70,10.34,33.754,3.31,0.07,0.13,1.69,20.5,0.0,21.8,0.0
75,10.09,33.805,3.19,0.05,0.12,1.76,22.2,0.0,22.8,0.0
85,9.76,33.869,2.97,0.03,0.1,1.89,25.3,0.0,24.6,0.0
100,9.69,33.911,2.78,0.02,0.08,1.95,26.5,0.0,25.1,0.0
119,9.51,33.955,2.51,0.01,0.09,2.02,28.5,0.0,26.1,0.0
125,9.45,33.966,2.39,0.01,0.09,2.07,30.0,0.0,26.8,0.0
139,9.02,34.066,2.11,0.01,0.07,2.21,33.9,0.0,28.4,0.0
150,8.77,34.105,1.99,0.01,0.06,2.28,36.1,0.0,29.3,0.0
169,8.63,34.133,1.82,0.0,0.05,2.38,39.0,0.0,30.4,0.0
198,8.5,34.165,1.46,0.0,0.06,2.49,41.8,0.0,31.5,0.0
0,12.35,33.577,6.26,1.47,0.31,0.83,8.9,0.2,8.2,0.08
